camera,day,total_frames,total_people_detections,avg_people_per_frame,max_people_in_frame
balcony,day1,2303,18816,8.170212765957446,29
balcony,day2,2,5,2.5,3
balcony,day3,2356,25797,10.949490662139219,29
balcony,day4,968,13202,13.638429752066116,29
bar_stage,day1,128,438,3.421875,11
bar_stage,day2,2435,11244,4.617659137577002,15
bar_stage,day3,3587,14947,4.166991915249512,12
bar_stage,day4,1061,8069,7.605089538171536,21
inside_bar,day1,679,3456,5.089837997054492,15
inside_bar,day2,2387,15751,6.598659405111018,16
inside_bar,day3,3599,35457,9.851903306474021,21
inside_bar,day4,1120,8529,7.615178571428571,17
street_view,day1,474,4537,9.571729957805907,21
street_view,day2,2400,35932,14.971666666666666,27
street_view,day3,2400,31115,12.964583333333334,25
street_view,day4,205,3031,14.785365853658536,23
